number,id,state,assignee,user,tags,time,activity
29,130,closed,,57843898,,2020-01-09 08:38:48,close_issue
30,129,closed,,734513,,2019-12-01 21:19:51,open_issue
30,129,closed,,734513,,2020-01-09 08:38:16,change_issue
30,129,closed,,734513,,2020-01-09 08:38:16,close_issue
31,128,closed,,44591001,,2019-11-30 19:53:38,open_issue
31,128,closed,,44591001,,2020-01-10 14:16:49,change_issue
31,128,closed,,44591001,,2020-01-10 14:16:49,close_issue
32,127,closed,,13497689,,2019-11-15 22:21:15,open_issue
32,127,closed,,13497689,,2020-01-09 08:58:58,change_issue
32,127,closed,,13497689,,2020-01-09 08:58:58,close_issue
33,126,closed,,7377152,,2019-11-07 20:32:15,open_issue
33,126,closed,,7377152,,2019-11-15 14:51:27,change_issue
33,126,closed,,7377152,,2019-11-15 14:51:27,close_issue
34,125,closed,,13797259,,2019-11-06 04:31:51,open_issue
34,125,closed,,13797259,,2019-11-16 11:04:05,change_issue
34,125,closed,,13797259,,2019-11-16 11:04:05,close_issue
35,124,closed,,46762174,,2019-10-28 14:41:57,open_issue
35,124,closed,,46762174,,2019-11-16 11:03:43,change_issue
35,124,closed,,46762174,,2019-11-16 11:03:43,close_issue
36,123,closed,,46762174,,2019-10-25 13:33:14,open_issue
36,123,closed,,46762174,,2019-11-16 11:03:28,change_issue
36,123,closed,,46762174,,2019-11-16 11:03:28,close_issue
37,122,closed,,6236151,,2019-10-25 07:29:15,open_issue
37,122,closed,,6236151,,2019-12-13 15:55:09,change_issue
37,122,closed,,6236151,,2019-12-13 15:55:09,close_issue
38,121,closed,,6236151,,2019-10-24 12:29:52,open_issue
38,121,closed,,6236151,,2019-10-24 12:31:23,change_issue
38,121,closed,,6236151,,2019-10-24 12:31:23,close_issue
39,120,closed,,6236151,,2019-10-21 17:20:02,open_issue
39,120,closed,,6236151,,2019-10-23 13:41:25,change_issue
39,120,closed,,6236151,,2019-10-23 13:41:25,close_issue
40,119,closed,,56342194,,2019-10-21 08:10:06,open_issue
40,119,closed,,56342194,,2019-11-16 11:02:49,change_issue
40,119,closed,,56342194,,2019-11-16 11:02:49,close_issue
41,118,closed,,54527547,,2019-10-18 12:10:42,open_issue
41,118,closed,,54527547,,2019-10-18 14:21:11,change_issue
41,118,closed,,54527547,,2019-10-18 14:21:11,close_issue
42,117,closed,,7473521,,2019-10-16 13:12:21,open_issue
42,117,closed,,7473521,,2019-10-17 20:32:34,change_issue
42,117,closed,,7473521,,2019-10-16 18:06:58,close_issue
43,116,closed,,13441534,,2019-10-15 16:03:17,open_issue
43,116,closed,,13441534,,2019-10-18 14:03:36,change_issue
43,116,closed,,13441534,,2019-10-18 14:03:36,close_issue
44,115,closed,,51121443,,2019-10-10 12:50:17,open_issue
44,115,closed,,51121443,,2020-01-09 08:59:05,change_issue
44,115,closed,,51121443,,2020-01-09 08:59:05,close_issue
45,114,closed,,41383598,,2019-10-10 06:04:12,open_issue
45,114,closed,,41383598,,2019-11-16 11:02:23,change_issue
45,114,closed,,41383598,,2019-11-16 11:02:23,close_issue
46,113,closed,,13441534,,2019-10-08 14:58:35,open_issue
46,113,closed,,13441534,,2019-10-10 05:30:02,change_issue
46,113,closed,,13441534,,2019-10-10 05:30:02,close_issue
47,112,closed,,10971787,,2019-10-07 08:40:13,open_issue
47,112,closed,,10971787,,2019-10-24 06:26:24,change_issue
47,112,closed,,10971787,,2019-10-24 06:26:24,close_issue
48,111,closed,,13441534,,2019-10-03 15:25:08,open_issue
48,111,closed,,13441534,,2019-10-05 10:05:37,change_issue
48,111,closed,,13441534,,2019-10-05 10:05:37,close_issue
49,110,closed,,13441534,,2019-10-01 15:39:30,open_issue
49,110,closed,,13441534,,2019-10-02 05:32:01,change_issue
49,110,closed,,13441534,,2019-10-02 05:32:01,close_issue
50,109,closed,,13441534,,2019-10-01 14:10:04,open_issue
50,109,closed,,13441534,,2019-10-01 14:54:18,change_issue
50,109,closed,,13441534,,2019-10-01 14:54:18,close_issue
51,108,closed,,24775152,,2019-09-13 10:13:30,open_issue
51,108,closed,,24775152,,2019-09-13 11:23:02,change_issue
51,108,closed,,24775152,,2019-09-13 11:23:02,close_issue
52,107,closed,,54587116,,2019-09-13 09:59:18,open_issue
52,107,closed,,54587116,,2019-09-13 09:59:29,change_issue
52,107,closed,,54587116,,2019-09-13 09:59:28,close_issue
53,106,closed,,54587116,,2019-09-12 14:14:53,open_issue
53,106,closed,,54587116,,2019-09-13 08:18:28,change_issue
53,106,closed,,54587116,,2019-09-13 08:18:28,close_issue
54,105,closed,,54587116,,2019-09-11 15:42:11,open_issue
54,105,closed,,54587116,,2019-09-13 08:18:11,change_issue
54,105,closed,,54587116,,2019-09-13 08:18:11,close_issue
55,104,closed,,54587116,,2019-09-11 15:41:15,open_issue
55,104,closed,,54587116,,2019-09-11 15:41:32,change_issue
55,104,closed,,54587116,,2019-09-11 15:41:31,close_issue
56,103,closed,,54587116,,2019-09-11 09:26:54,open_issue
56,103,closed,,54587116,,2019-09-11 14:13:31,change_issue
56,103,closed,,54587116,,2019-09-11 14:13:31,close_issue
57,102,closed,,54587116,,2019-09-11 08:54:22,open_issue
57,102,closed,,54587116,,2019-09-11 09:27:54,change_issue
57,102,closed,,54587116,,2019-09-11 09:27:54,close_issue
58,101,closed,,7377152,,2019-09-10 14:32:51,open_issue
58,101,closed,,7377152,,2019-09-11 14:19:08,change_issue
58,101,closed,,7377152,,2019-09-11 14:19:08,close_issue
59,100,closed,,5489168,,2019-09-04 13:03:27,open_issue
59,100,closed,,5489168,,2019-10-04 13:19:13,change_issue
59,100,closed,,5489168,,2019-10-04 13:19:13,close_issue
60,99,closed,,41383598,bug,2019-08-21 08:20:17,open_issue
60,99,closed,,41383598,bug,2019-08-30 07:34:45,change_issue
60,99,closed,,41383598,bug,2019-08-30 07:34:45,close_issue
61,98,closed,,1799661,,2019-07-29 13:41:44,open_issue
61,98,closed,,1799661,,2019-07-30 08:40:32,change_issue
61,98,closed,,1799661,,2019-07-30 08:40:32,close_issue
62,97,closed,,13794949,,2019-07-25 13:35:49,open_issue
62,97,closed,,13794949,,2019-11-08 10:11:58,change_issue
62,97,closed,,13794949,,2019-08-14 07:00:39,close_issue
63,96,closed,,5700843,,2019-07-04 12:59:07,open_issue
63,96,closed,,5700843,,2019-07-30 08:03:23,change_issue
63,96,closed,,5700843,,2019-07-30 08:03:23,close_issue
64,95,closed,,29577729,,2019-07-01 20:06:19,open_issue
64,95,closed,,29577729,,2019-07-09 11:25:39,change_issue
64,95,closed,,29577729,,2019-07-05 14:06:48,close_issue
65,94,closed,,29577729,,2019-06-30 18:57:54,open_issue
65,94,closed,,29577729,,2019-07-01 18:47:03,change_issue
65,94,closed,,29577729,,2019-07-01 18:47:03,close_issue
66,93,closed,,41383598,bug,2019-06-27 14:48:53,open_issue
66,93,closed,,41383598,bug,2019-07-01 06:01:28,change_issue
66,93,closed,,41383598,bug,2019-07-01 06:01:28,close_issue
67,92,closed,,6236151,,2019-06-22 13:37:47,open_issue
67,92,closed,,6236151,,2019-06-22 13:38:04,change_issue
67,92,closed,,6236151,,2019-06-22 13:38:04,close_issue
68,91,closed,,6236151,enhancement,2019-06-22 08:54:48,open_issue
68,91,closed,,6236151,enhancement,2019-10-27 15:03:13,change_issue
68,91,closed,,6236151,enhancement,2019-10-27 15:03:13,close_issue
69,90,closed,41383598,13497689,bug,2019-06-21 15:58:56,open_issue
69,90,closed,41383598,13497689,bug,2019-07-01 06:01:43,change_issue
69,90,closed,41383598,13497689,bug,2019-07-01 06:01:43,close_issue
70,89,closed,,21065784,,2019-06-19 11:24:46,open_issue
70,89,closed,,21065784,,2019-06-19 13:54:28,change_issue
70,89,closed,,21065784,,2019-06-19 13:54:07,close_issue
71,88,closed,,1912215,help wanted,2019-06-17 21:15:18,open_issue
