number,sha,author_id,author_name,date,files,files_sha
772,81d2b6e0c4f6710ba352121ff363f4f456df25a5,47940478,Hongru Du,2020-02-14 17:40:01,['who_covid_19_situation_reports/who_covid_19_sit_rep_pdfs/who_covid_19_sit_rep_pdfs/20200122-sitrep-2-2019-ncov.pdf'],['58b6d1dd2fe685cdb7f95ecd7e070dbf883435cb']
773,dcc2734b37059f569972136a98018af44a734aca,47940478,Hongru Du,2020-02-14 17:39:49,['who_covid_19_situation_reports/who_covid_19_sit_rep_pdfs/who_covid_19_sit_rep_pdfs/20200121-sitrep-1-2019-ncov.pdf'],['578f4ea3f981de39e90248978a718a2ba9b59b71']
774,50f2fbd43865874220faa499410ea3ee5f268788,47940478,Hongru Du,2020-02-14 17:39:30,['who_covid_19_situation_reports/who_covid_19_sit_rep_pdfs/README.md'],['8b137891791fe96927ad78e64b0aad7bded08bdc']
775,ab1fcd56beb1da32440bbe02d357a9e74e7ac2e9,47940478,Hongru Du,2020-02-14 17:30:37,"['who_covid_19_situation_reports/who_covid_19_sit_rep_pdfs/who_covid_19_sit_rep_pdfs/20200121-sitrep-1-2019-ncov.pdf', 'who_covid_19_situation_reports/who_covid_19_sit_rep_pdfs/who_covid_19_sit_rep_pdfs/20200122-sitrep-2-2019-ncov.pdf', 'who_covid_19_situation_reports/who_covid_19_sit_rep_pdfs/who_covid_19_sit_rep_pdfs/20200123-sitrep-3-2019-ncov.pdf', 'who_covid_19_situation_reports/who_covid_19_sit_rep_pdfs/who_covid_19_sit_rep_pdfs/20200124-sitrep-4-2019-ncov.pdf', 'who_covid_19_situation_reports/who_covid_19_sit_rep_pdfs/who_covid_19_sit_rep_pdfs/20200125-sitrep-5-2019-ncov.pdf', 'who_covid_19_situation_reports/who_covid_19_sit_rep_pdfs/who_covid_19_sit_rep_pdfs/20200126-sitrep-6-2019--ncov.pdf', 'who_covid_19_situation_reports/who_covid_19_sit_rep_pdfs/who_covid_19_sit_rep_pdfs/20200127-sitrep-7-2019--ncov.pdf', 'who_covid_19_situation_reports/who_covid_19_sit_rep_pdfs/who_covid_19_sit_rep_pdfs/20200128-sitrep-8-ncov-cleared.pdf', 'who_covid_19_situation_reports/who_covid_19_sit_rep_pdfs/who_covid_19_sit_rep_pdfs/20200129-sitrep-9-ncov-v2.pdf', 'who_covid_19_situation_reports/who_covid_19_sit_rep_pdfs/who_covid_19_sit_rep_pdfs/20200130-sitrep-10-ncov.pdf', 'who_covid_19_situation_reports/who_covid_19_sit_rep_pdfs/who_covid_19_sit_rep_pdfs/20200131-sitrep-11-ncov.pdf', 'who_covid_19_situation_reports/who_covid_19_sit_rep_pdfs/who_covid_19_sit_rep_pdfs/20200201-sitrep-12-ncov.pdf', 'who_covid_19_situation_reports/who_covid_19_sit_rep_pdfs/who_covid_19_sit_rep_pdfs/20200202-sitrep-13-ncov-v3.pdf', 'who_covid_19_situation_reports/who_covid_19_sit_rep_pdfs/who_covid_19_sit_rep_pdfs/20200203-sitrep-14-ncov.pdf', 'who_covid_19_situation_reports/who_covid_19_sit_rep_pdfs/who_covid_19_sit_rep_pdfs/20200204-sitrep-15-ncov.pdf', 'who_covid_19_situation_reports/who_covid_19_sit_rep_pdfs/who_covid_19_sit_rep_pdfs/20200205-sitrep-16-ncov.pdf', 'who_covid_19_situation_reports/who_covid_19_sit_rep_pdfs/who_covid_19_sit_rep_pdfs/20200206-sitrep-17-ncov.pdf', 'who_covid_19_situation_reports/who_covid_19_sit_rep_pdfs/who_covid_19_sit_rep_pdfs/20200207-sitrep-18-ncov.pdf', 'who_covid_19_situation_reports/who_covid_19_sit_rep_pdfs/who_covid_19_sit_rep_pdfs/20200208-sitrep-19-ncov.pdf', 'who_covid_19_situation_reports/who_covid_19_sit_rep_pdfs/who_covid_19_sit_rep_pdfs/20200209-sitrep-20-ncov.pdf', 'who_covid_19_situation_reports/who_covid_19_sit_rep_pdfs/who_covid_19_sit_rep_pdfs/20200210-sitrep-21-ncov.pdf', 'who_covid_19_situation_reports/who_covid_19_sit_rep_pdfs/who_covid_19_sit_rep_pdfs/20200211-sitrep-22-ncov.pdf', 'who_covid_19_situation_reports/who_covid_19_sit_rep_pdfs/who_covid_19_sit_rep_pdfs/20200212-sitrep-23-ncov.pdf', 'who_covid_19_situation_reports/who_covid_19_sit_rep_pdfs/who_covid_19_sit_rep_pdfs/20200213-sitrep-24-covid-19.pdf']","['578f4ea3f981de39e90248978a718a2ba9b59b71', '58b6d1dd2fe685cdb7f95ecd7e070dbf883435cb', '11c7b8587cafc8d0f8dd4eecd293aaf1a7491d24', '382a6250106ab1eeb4a01b9bec73c2c206cfd656', '29765a8ac9c37090b8fe10281062566698d5a2ad', '9cd5ac43e4c7435d8457e131bb4de97f4f3e2714', '11ce9b0a04adac9b87ebb7ece555d4f2913c664a', '4032e505fdc31c55719dcf90f159f5bc3d712281', 'd390132b6706401198f1ccf224e8292f1c8add10', '43df45873482e3c206a1c419030eed75db1a3797', '5f139beca9fbbee87578fa11406e389525e93990', 'e8a64c5b1610f8b3e48484911a98cf338961f40e', 'eedadf794e598ac3e09adbd58efa460f7d68eabe', '9d16493d98c15beeb14f20ac39324258b5305db9', '21457892968a6cc50f0196a06340bc8d979df647', '097a4aa14c6cf35b0e054ad9a06dcd69f87fb080', 'c0e8fc37224b960f72c892f05da5df7304e0c661', '9f4ad521e240e42bbd63c67394e3df26c37d52c5', '61b4a58c273a7ecb134ce211a778651fc5b40a72', '8a9eaf8aae53976785d493c07ce9087dd096775d', 'e04be151d608d53568d608dec59d1838307e2a58', '061b50dae149a9d97bfa2e3d404dfb09bc32a0d5', '62864356424ae92cb08bccae4d271bcccb4dfddd', '8dabadcfc6ebdf628b67374a2c6f05cefe92dc36']"
776,d5b1a047d269454302683b97131aee3c96c19f19,47940478,Hongru Du,2020-02-14 17:29:29,['who_covid_19_situation_reports/who_covid_19_sit_rep_pdfs/README.md'],['8b137891791fe96927ad78e64b0aad7bded08bdc']
777,4d57c153861c9c7cfe307d8d223ba7dbfe3bc75c,47940478,Hongru Du,2020-02-14 17:13:26,['who_covid_19_situation_reports/who_covid_19_sit_rep_pdfs'],['8b137891791fe96927ad78e64b0aad7bded08bdc']
778,e143028feb12f721efacd4b9227d05f072916be6,47940478,Hongru Du,2020-02-14 17:12:24,['who_covid_19_situation_reports/who_covid_19_sit_rep_pdfs'],['8b137891791fe96927ad78e64b0aad7bded08bdc']
779,ddd8cf43bd6a3c40d12f48668f5ea39e7c42f708,,,2020-02-14 17:03:40,"['csse_covid_19_data/csse_covid_19_daily_reports/.gitignore', 'csse_covid_19_data/csse_covid_19_time_series/.gitignore']","['496ee2ca6a2f08396a4076fe43dedf3dc0da8b6d', '496ee2ca6a2f08396a4076fe43dedf3dc0da8b6d']"
780,7e3dbcde3f44c7a312d3bd010cbe36fa609dd869,,,2020-02-14 16:59:08,"['archived_data/README.md', 'archived_data/daily_case_updates/.gitignore', 'archived_data/daily_case_updates/01-21-2020_2200.csv', 'archived_data/daily_case_updates/01-22-2020_1200.csv', 'archived_data/daily_case_updates/01-23-2020_1200.csv', 'archived_data/daily_case_updates/01-24-2020_0000.csv', 'archived_data/daily_case_updates/01-24-2020_1200.csv', 'archived_data/daily_case_updates/01-25-2020_0000.csv', 'archived_data/daily_case_updates/01-25-2020_1200.csv', 'archived_data/daily_case_updates/01-25-2020_2200.csv', 'archived_data/daily_case_updates/01-26-2020_1100.csv', 'archived_data/daily_case_updates/01-26-2020_2300.csv', 'archived_data/daily_case_updates/01-27-2020_0900.csv', 'archived_data/daily_case_updates/01-27-2020_1900.csv', 'archived_data/daily_case_updates/01-27-2020_2030.csv', 'archived_data/daily_case_updates/01-28-2020_1300.csv', 'archived_data/daily_case_updates/01-28-2020_1800.csv', 'archived_data/daily_case_updates/01-28-2020_2300.csv', 'archived_data/daily_case_updates/01-29-2020_1330.csv', 'archived_data/daily_case_updates/01-29-2020_1430.csv', 'archived_data/daily_case_updates/01-29-2020_2100.csv', 'archived_data/daily_case_updates/01-30-2020_1100.csv', 'archived_data/daily_case_updates/01-30-2020_2130.csv', 'archived_data/daily_case_updates/01-31-2020_1400.csv', 'archived_data/daily_case_updates/02-01-2020_1000.csv', 'archived_data/daily_case_updates/02-01-2020_1800.csv', 'archived_data/daily_case_updates/02-01-2020_2300.csv', 'archived_data/daily_case_updates/02-02-2020_0500.csv', 'archived_data/daily_case_updates/02-02-2020_1945.csv', 'archived_data/daily_case_updates/02-02-2020_2100.csv', 'archived_data/daily_case_updates/02-03-2020_1230.csv', 'archived_data/daily_case_updates/02-03-2020_2140.csv', 'archived_data/daily_case_updates/02-04-2020_0800.csv', 'archived_data/daily_case_updates/02-04-2020_1150.csv', 'archived_data/daily_case_updates/02-04-2020_2200.csv', 'archived_data/daily_case_updates/02-05-2020_1220.csv', 'archived_data/daily_case_updates/02-06-2020_1318.csv', 'archived_data/daily_case_updates/02-06-2020_2005.csv', 'archived_data/daily_case_updates/02-07-2020_2024.csv', 'archived_data/daily_case_updates/02-08-2020_1024.csv', 'archived_data/daily_case_updates/02-08-2020_2304.csv', 'archived_data/daily_case_updates/02-09-2020_1030.csv', 'archived_data/daily_case_updates/02-09-2020_2320.csv', 'archived_data/daily_case_updates/02-10-2020_1030.csv', 'archived_data/daily_case_updates/02-10-2020_1930.csv', 'archived_data/daily_case_updates/02-11-2020_1050.csv', 'archived_data/daily_case_updates/02-11-2020_2044.csv', 'archived_data/daily_case_updates/02-12-2020_1020.csv', 'archived_data/daily_case_updates/02-12-2020_2200.csv', 'archived_data/daily_case_updates/02-13-2020_1000.csv', 'archived_data/daily_case_updates/02-13-2020_2115.csv', 'archived_data/daily_case_updates/02-14-2020_1123.csv', 'archived_data/daily_case_updates/README.md', 'archived_data/time_series/.gitignore', 'archived_data/time_series/README.md', 'archived_data/time_series/time_series_2019-ncov-Confirmed.csv', 'archived_data/time_series/time_series_2019-ncov-Deaths.csv', 'archived_data/time_series/time_series_2019-ncov-Recovered.csv', 'csse_covid_19_data/README.md', 'csse_covid_19_data/csse_covid_19_daily_reports/01-22-2020.csv', 'csse_covid_19_data/csse_covid_19_daily_reports/01-23-2020.csv', 'csse_covid_19_data/csse_covid_19_daily_reports/01-24-2020.csv', 'csse_covid_19_data/csse_covid_19_daily_reports/01-25-2020.csv', 'csse_covid_19_data/csse_covid_19_daily_reports/01-26-2020.csv', 'csse_covid_19_data/csse_covid_19_daily_reports/01-27-2020.csv', 'csse_covid_19_data/csse_covid_19_daily_reports/01-28-2020.csv', 'csse_covid_19_data/csse_covid_19_daily_reports/01-29-2020.csv', 'csse_covid_19_data/csse_covid_19_daily_reports/01-30-2020.csv', 'csse_covid_19_data/csse_covid_19_daily_reports/01-31-2020.csv', 'csse_covid_19_data/csse_covid_19_daily_reports/02-01-2020.csv', 'csse_covid_19_data/csse_covid_19_daily_reports/02-02-2020.csv', 'csse_covid_19_data/csse_covid_19_daily_reports/02-03-2020.csv', 'csse_covid_19_data/csse_covid_19_daily_reports/02-04-2020.csv', 'csse_covid_19_data/csse_covid_19_daily_reports/02-05-2020.csv', 'csse_covid_19_data/csse_covid_19_daily_reports/02-06-2020.csv', 'csse_covid_19_data/csse_covid_19_daily_reports/02-07-2020.csv', 'csse_covid_19_data/csse_covid_19_daily_reports/02-08-2020.csv', 'csse_covid_19_data/csse_covid_19_daily_reports/02-09-2020.csv', 'csse_covid_19_data/csse_covid_19_daily_reports/02-10-2020.csv', 'csse_covid_19_data/csse_covid_19_daily_reports/02-11-2020.csv', 'csse_covid_19_data/csse_covid_19_daily_reports/02-12-2020.csv', 'csse_covid_19_data/csse_covid_19_daily_reports/02-13-2020.csv', 'csse_covid_19_data/csse_covid_19_daily_reports/README.md', 'csse_covid_19_data/csse_covid_19_time_series/README.md']","['e69de29bb2d1d6434b8b29ae775ad8c2e48c5391', '496ee2ca6a2f08396a4076fe43dedf3dc0da8b6d', 'a749d4d4145c045085c654cf2fd368400e58028a', '051b2f9dc3d3494fc3807b949802344e0a33c4e4', '4a27b8ca706afe673bde517058acaa48d7828952', 'e4c8f644e224bc3de3e0ce63b362574ef9c8662f', '398118e9f1cb20176a4dc869ced78ea9223b1578', '7c3784c8c46fc374eee9b8179add3cb29c5a085a', '0a66c142a61b5a93f37b1f56a638ad9534646403', '41380dc61c68f2c1546ee12b6ac8e56255dd9d22', '7626a05c75794571cc546d9658ef1c112b6efafb', 'a1b4764d360dd4b38d691ae5e4e649b18d6449f3', '440f2d746e87d950cda29e048e1b530131f73945', '0f7e5cecbb55222bd1b20b9b91891d67f1fbabee', '8b3a5621eafacb4ebbcbd83b8c3a2d49faf78fb7', 'ddd9c2128508756f952db54d7fcbd76ce0bfa9c2', '007f95e733580cc14170cd20c7d4fd097334e5d7', '25feb8b95bcfbf86f484df59c636470be2fd8fa7', 'a1d5a3e0ab6d926719434249d31523009a00217c', 'f5d8fd73dde4699cd7e47d2aaf89a7bec130aa1f', '2c374c6d252db911030e60c7d9c6888e6eb6b171', '1153e59202f1a4fb560f25e135aff6ae2d46e833', 'd6530d025f186f17276c96ac4e1570736d6bd559', '6cbe31e34520358150e6b239459cc08dc6416e69', '4a45cddada8c72be63a196e082185a39dfff5371', 'bf7b679763a690e8e4ff92d508b919e8ddb15524', 'fdd301277cd78234093eede496c3854623a265dd', '822e950f4063a6c84e1058c9ed407e76b5be482f', 'b4b75a9e65af696fba35fc69d95399884e6162a0', '8446170e2360290315813b3664ae1bd83e0ef2c8', '2e78d0ff32a85ca810da9d4ccc1ef566598c89e0', '4579a076c90ee7fad1820d3ce959ab273343fc75', 'cea7709f8f08dc68c62d26b9b404fd3b1eb58290', '79799347f8241fdc49885eb99a4e5820d41f5617', 'f35a93d5aa862121946bdfd3a3b3f30252cf1442', 'd0bd887938047f0d646c9357829a4a2b2d08a90c', 'ef4b7c63e81e9d997c7d88ea05f5d7270ab1b31d', '75884e5686f9c9ea8455978cc5472ef4e7dc4b17', '7c094ea8a869a28181eb0aec67f0fb9bb54acd5b', '95ef9b183193e18704f816098474fcf72a33b4f0', '9db7b2d678178115c70ac17723b3967b45a9d6fa', 'a40e08ceeb0237130a2b131ad4a5b1b43714a4ae', '24f25c94d959d8aa387b35d6fc31486019bb9a61', 'edda9c5ccde8f710ef7a82ef2905004bb6e5359e', '4743eb163caad4bb05244b95945bf7ae9ead6b5b', '98e0a9518e79a9989b20b58e70a3440d1077dbef', '42dc4fe545bc20df0b7847f0e269eefab24637b1', 'aa33a513272f0bb5ac7edac72aea736efcda325d', 'dd044ba1581a98a0e551b3e0f5d74f6e31613824', '9a90526cf080c3d392b7db79d63982fc6560891d', '03ca6f68fbf7ce7000288940e3d79bddc9482c2f', 'd12114f85355c54976ad61de53698ae1b6c49e45', '5bb1affe1d93a2c643cc261ad400ba24d53b5feb', '496ee2ca6a2f08396a4076fe43dedf3dc0da8b6d', '9f031a983f1daa27a1570c9ea6856b4cea389ce6', '8a803952ddf701b3034c5e88c0309398a0a292f4', '02537e51525c0a9ac7408e9302fb0594f693c318', '0342ef8a38717544cf937523b89afd887c66fe9a', 'e69de29bb2d1d6434b8b29ae775ad8c2e48c5391', '26a4512a85668bebac38522fe6579ccb05a434c3', '06a49bc8e7d73440b61d3b19a8a6ab09d5b3610e', 'bf9440df55326a9e243d00360b20707f4b8e0504', '0d14cfc21a7ea5c41e4d6acdbd535e2a2a5507ee', 'a9fc16a4a624adaf60a47ba8d8fbe096d08e2316', 'a10263a68201810e8aeecd0748427ce24b6d902f', '7a8aa45d4a7d9fc86424bdbecfd5e76c0e3c549e', 'fd93df5347138d75a8b513d5ff6082bbc6452650', 'e1264e6c62fc8a43c1c18b8e873f7db11ecc372a', 'beeb866c8f2dbaf9a248d130a023f0db48cfd725', 'bf7b679763a690e8e4ff92d508b919e8ddb15524', 'f4bdcfc62a095eaaf79d47d469c113f518506569', 'c8d9152b9fdaaba46f4973ea7ebb734664d6b402', '4e55f16840c1f49ae972675f0eef500115315be8', 'c53047f7017b905823111d40def5ec29eaf089b7', 'a244661ad1057d03be1029e7d14d0718f4b7c7a2', 'dd7894a3ab8a76a909e7674dd7e80be626bdacea', 'd2fd23493554ada96d81a8ff41483928da42c1b6', '3f2041e260635fc027b7580f334ad374e509a320', 'c5141697b6c8b6ea08e9e79e73281346caf9ad00', '89ffdd57afb129b1e88b4d4228b1deaa0b4c97aa', 'e3e29fae0983dd321b412cc1ed20f4fcb85351a4', 'ecc55434142acc4a7c45d795bbfd8ae90dd628fb', 'e69de29bb2d1d6434b8b29ae775ad8c2e48c5391', 'e69de29bb2d1d6434b8b29ae775ad8c2e48c5391']"
781,7283efd63eea71d00046b7f3ae2a3f1df4424c9f,,,2020-02-14 16:58:25,['who_covid_19_situation_reports/README.md'],['e69de29bb2d1d6434b8b29ae775ad8c2e48c5391']
